Section ID & Heading,Recommendation / Requirement,Normative Keyword
6 CycloneDX Bill of Materials Standard,The services property is Optional.,Optional
6 CycloneDX Bill of Materials Standard,The externalReferences property is Optional.,Optional
6 CycloneDX Bill of Materials Standard,The dependencies property is Optional.,Optional
6 CycloneDX Bill of Materials Standard,The compositions property is Optional.,Optional
6 CycloneDX Bill of Materials Standard,The vulnerabilities property is Optional.,Optional
6 CycloneDX Bill of Materials Standard,The annotations property is Optional.,Optional
6 CycloneDX Bill of Materials Standard,The formulation property is Optional.,Optional
6 CycloneDX Bill of Materials Standard,The declarations property is Optional.,Optional
6 CycloneDX Bill of Materials Standard,The definitions property is Optional.,Optional
6.1 BOM Format,The bomFormat property is Required.,Required
6.1 BOM Format,"The value of bomFormat must be ""CycloneDX"".",must
6.2 CycloneDX Specification Version,The specVersion property is Required.,Required
6.3 BOM Serial Number,The serialNumber property is Optional.,Optional
6.3 BOM Serial Number,"Every BOM generated SHOULD have a unique serial number, even if the contents of the BOM have not changed over time.",SHOULD
6.3 BOM Serial Number,"If specified, the serial number must conform to RFC 4122.",must
6.3 BOM Serial Number,Use of serial numbers is recommended.,recommended
6.4 BOM Version,The version property is Optional.,Optional
6.4 BOM Version,"Whenever an existing BOM is modified, either manually or through automated processes, the version of the BOM SHOULD be incremented by 1.",SHOULD
6.4 BOM Version,"When a system is presented with multiple BOMs with identical serial numbers, the system SHOULD use the most recent version of the BOM.",SHOULD
7 BOM Metadata,The metadata property is Optional.,Optional
7 BOM Metadata,The tools property is Optional.,Optional
7 BOM Metadata,The manufacturer property is Optional.,Optional
7 BOM Metadata,The authors property is Optional.,Optional
7 BOM Metadata,The component property is Optional.,Optional
7 BOM Metadata,The manufacture property is Optional and Deprecated.,Optional
7 BOM Metadata,The supplier property is Optional.,Optional
7 BOM Metadata,The licenses property is Optional.,Optional
7.1 Timestamp,The timestamp property is Optional.,Optional
7.2 Lifecycles,The lifecycles property is Optional.,Optional
7.2 Lifecycles,Each item of this array must be a Lifecycle object.,must
7.2.1 Lifecycle,The Lifecycle object Must be one of: Pre-Defined Phase.,Must
7.2.1 Lifecycle,The Lifecycle object Must be one of: Custom Phase.,Must
7.2.2 Pre-Defined Phase,The phase property is Required.,Required
7.2.3 Custom Phase,The name property is Required.,Required
7.2.3 Custom Phase,The description property is Optional.,Optional
7.2.4 Phase,The lifecycles property is Required.,Required
7.2.5 Name,The lifecycles property is Required.,Required
7.2.6 Description,The lifecycles property is Optional.,Optional
7.3 Tools,The tools property is Optional.,Optional
7.3 Tools,The tools object Must be one of: Tools.,Must
7.3 Tools,The tools object Must be one of: Tools (legacy).,Must
7.3.1 Tools,The components property is Optional.,Optional
7.3.1 Tools,The services property is Optional.,Optional
7.3.3 Components,The tools property is Optional.,Optional
7.3.3 Components,Each item of this array must be a Component object.,must
7.3.3.1 Component,All items must be unique.,must
7.3.4 Services,The tools property is Optional.,Optional
7.3.4 Services,Each item of this array must be a Service object.,must
7.3.4.1 Service,All items must be unique.,must
7.3.4.1.1 Tools (legacy),Each item of this array must be a Tool object.,must
7.3.5 Tool,The vendor property is Optional.,Optional
7.3.5 Tool,The name property is Optional.,Optional
7.3.5 Tool,The version property is Optional.,Optional
7.3.5 Tool,The hashes property is Optional.,Optional
7.3.5 Tool,The externalReferences property is Optional.,Optional
7.3.5.1 Tool Vendor,The vendor property is Optional.,Optional
7.3.5.2 Tool Name,The name property is Optional.,Optional
7.3.5.3 Tool Version,The version property is Optional.,Optional
7.3.5.4 Hashes,The hashes property is Optional.,Optional
7.3.5.4 Hashes,Each item of this array must be a Hash object.,must
7.3.5.4.1 Hash,The alg property is Required.,Required
7.3.5.4.1 Hash,The content property is Required.,Required
7.3.5.4.2 Hash Algorithm,The alg property is Required.,Required
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: MD5.,Must
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA-1.,Must
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA-256.,Must
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA-384.,Must
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA-512.,Must
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA3-256.,Must
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA3-384.,Must
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA3-512.,Must
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: BLAKE2b-256.,Must
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: BLAKE2b-384.,Must
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: BLAKE2b-512.,Must
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: BLAKE3.,Must
7.3.5.4.3 Hash Value,The content property is Required.,Required
7.3.5.5 External References,The externalReferences property is Optional.,Optional
7.3.5.5 External References,Each item of this array must be an External Reference object.,must
7.4 BOM Manufacturer,The manufacturer property is Optional.,Optional
7.4 BOM Manufacturer,The bom-ref property is Optional.,Optional
7.4 BOM Manufacturer,Every bom-ref must be unique within the BOM.,must
7.4 BOM Manufacturer,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
7.4 BOM Manufacturer,The name property is Optional.,Optional
7.4 BOM Manufacturer,The address property is Optional.,Optional
7.4 BOM Manufacturer,The url property is Optional.,Optional
7.4 BOM Manufacturer,The contact property is Optional.,Optional
7.4.1 BOM Reference,The bom-ref property is Optional.,Optional
7.4.1 BOM Reference,Every bom-ref must be unique within the BOM.,must
7.4.1 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
7.4.2 Organization Name,The name property is Optional.,Optional
7.4.3 Organization Address,The address property is Optional.,Optional
7.4.3 Organization Address,The bom-ref property is Optional.,Optional
7.4.3 Organization Address,Every bom-ref must be unique within the BOM.,must
7.4.3 Organization Address,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
7.4.3 Organization Address,The country property is Optional.,Optional
7.4.3 Organization Address,The region property is Optional.,Optional
7.4.3 Organization Address,The locality property is Optional.,Optional
7.4.3 Organization Address,The postOfficeBoxNumber property is Optional.,Optional
7.4.3 Organization Address,The postalCode property is Optional.,Optional
7.4.3 Organization Address,The streetAddress property is Optional.,Optional
7.4.3.1 BOM Reference,The bom-ref property is Optional.,Optional
7.4.3.1 BOM Reference,Every bom-ref must be unique within the BOM.,must
7.4.3.1 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
7.4.3.2 Country,The country property is Optional.,Optional
7.4.3.3 Region,The region property is Optional.,Optional
7.4.3.4 Locality,The locality property is Optional.,Optional
7.4.3.5 Post Office Box Number,The postOfficeBoxNumber property is Optional.,Optional
7.4.3.6 Postal Code,The postalCode property is Optional.,Optional
7.4.3.7 Street Address,The streetAddress property is Optional.,Optional
7.4.4 Organization URL(s),The url property is Optional.,Optional
7.4.4 Organization URL(s),Each item of this array must be a string.,must
7.4.5 Organizational Contact,The contact property is Optional.,Optional
7.4.5 Organizational Contact,Each item of this array must be an Organizational Contact object.,must
7.4.5.1 Organizational Contact,The bom-ref property is Optional.,Optional
7.4.5.1 Organizational Contact,Every bom-ref must be unique within the BOM.,must
7.4.5.1 Organizational Contact,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
7.4.5.1 Organizational Contact,The name property is Optional.,Optional
7.4.5.1 Organizational Contact,The email property is Optional.,Optional
7.4.5.1 Organizational Contact,The phone property is Optional.,Optional
7.4.5.1.1 BOM Reference,The bom-ref property is Optional.,Optional
7.4.5.1.1 BOM Reference,Every bom-ref must be unique within the BOM.,must
7.4.5.1.1 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
7.4.5.1.2 Name,The name property is Optional.,Optional
7.4.5.1.3 Email Address,The email property is Optional.,Optional
7.4.5.1.4 Phone,The phone property is Optional.,Optional
7.5 BOM Authors,The authors property is Optional.,Optional
7.5 BOM Authors,Each item of this array must be an Organizational Contact object.,must
7.5.1 Organizational Contact,The bom-ref property is Optional.,Optional
7.5.1 Organizational Contact,Every bom-ref must be unique within the BOM.,must
7.5.1 Organizational Contact,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
7.5.1 Organizational Contact,The name property is Optional.,Optional
7.5.1 Organizational Contact,The email property is Optional.,Optional
7.5.1 Organizational Contact,The phone property is Optional.,Optional
7.5.1.1 BOM Reference,The bom-ref property is Optional.,Optional
7.5.1.1 BOM Reference,Every bom-ref must be unique within the BOM.,must
7.5.1.1 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
7.5.1.2 Name,The name property is Optional.,Optional
7.5.1.3 Email Address,The email property is Optional.,Optional
7.5.1.4 Phone,The phone property is Optional.,Optional
7.6 Component,The component property is Optional.,Optional
7.7 Component Manufacture (legacy),The manufacture property is Optional and Deprecated.,Optional
7.7 Component Manufacture (legacy),The bom-ref property is Optional.,Optional
7.7 Component Manufacture (legacy),The name property is Optional.,Optional
7.7 Component Manufacture (legacy),The address property is Optional.,Optional
7.7 Component Manufacture (legacy),The url property is Optional.,Optional
7.7 Component Manufacture (legacy),The contact property is Optional.,Optional
7.7.1 BOM Reference,The bom-ref property is Optional.,Optional
7.7.1 BOM Reference,Every bom-ref must be unique within the BOM.,must
7.7.1 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
7.7.2 Organization Name,The name property is Optional.,Optional
7.7.3 Organization Address,The address property is Optional.,Optional
7.7.3 Organization Address,The bom-ref property is Optional.,Optional
7.7.3 Organization Address,Every bom-ref must be unique within the BOM.,must
7.7.3 Organization Address,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
7.7.3 Organization Address,The country property is Optional.,Optional
7.7.3 Organization Address,The region property is Optional.,Optional
7.7.3 Organization Address,The locality property is Optional.,Optional
7.7.3 Organization Address,The postOfficeBoxNumber property is Optional.,Optional
7.7.3 Organization Address,The postalCode property is Optional.,Optional
7.7.3 Organization Address,The streetAddress property is Optional.,Optional
7.7.3.1 BOM Reference,The bom-ref property is Optional.,Optional
7.7.3.1 BOM Reference,Every bom-ref must be unique within the BOM.,must
7.7.3.1 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
7.7.4 Organization URL(s),The url property is Optional.,Optional
7.7.4 Organization URL(s),Each item of this array must be a string.,must
7.7.5 Organizational Contact,The contact property is Optional.,Optional
7.7.5 Organizational Contact,Each item of this array must be an Organizational Contact object.,must
7.7.5.1 Organizational Contact,The bom-ref property is Optional.,Optional
7.7.5.1 Organizational Contact,Every bom-ref must be unique within the BOM.,must
7.7.5.1 Organizational Contact,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
7.7.5.1 Organizational Contact,The name property is Optional.,Optional
7.7.5.1 Organizational Contact,The email property is Optional.,Optional
7.8 Supplier,The supplier property is Optional.,Optional
7.8 Supplier,The bom-ref property is Optional.,Optional
7.8 Supplier,Every bom-ref must be unique within the BOM.,must
7.8 Supplier,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
7.8 Supplier,The name property is Optional.,Optional
7.8 Supplier,The address property is Optional.,Optional
7.8 Supplier,The url property is Optional.,Optional
7.8 Supplier,The contact property is Optional.,Optional
7.8.1 BOM Reference,The bom-ref property is Optional.,Optional
7.8.1 BOM Reference,Every bom-ref must be unique within the BOM.,must
7.8.1 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
7.8.2 Organization Name,The name property is Optional.,Optional
7.8.3 Organization Address,The address property is Optional.,Optional
7.8.3 Organization Address,The bom-ref property is Optional.,Optional
7.8.3 Organization Address,Every bom-ref must be unique within the BOM.,must
7.8.3 Organization Address,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
7.8.3 Organization Address,The country property is Optional.,Optional
7.8.3 Organization Address,The region property is Optional.,Optional
7.8.3 Organization Address,The locality property is Optional.,Optional
7.8.3 Organization Address,The postOfficeBoxNumber property is Optional.,Optional
7.8.3 Organization Address,The postalCode property is Optional.,Optional
7.8.3 Organization Address,The streetAddress property is Optional.,Optional
7.8.3.1 BOM Reference,The bom-ref property is Optional.,Optional
7.8.3.1 BOM Reference,Every bom-ref must be unique within the BOM.,must
7.8.3.1 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
7.8.4 Organization URL(s),The url property is Optional.,Optional
7.8.4 Organization URL(s),Each item of this array must be a string.,must
7.8.5 Organizational Contact,The contact property is Optional.,Optional
7.8.5 Organizational Contact,Each item of this array must be an Organizational Contact object.,must
7.8.5.1 Organizational Contact,The bom-ref property is Optional.,Optional
7.8.5.1 Organizational Contact,Every bom-ref must be unique within the BOM.,must
7.8.5.1 Organizational Contact,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
7.8.5.1 Organizational Contact,The name property is Optional.,Optional
7.8.5.1 Organizational Contact,The email property is Optional.,Optional
7.9 BOM Licence(s),The licenses property is Optional.,Optional
7.10 Properties,The properties property is Optional.,Optional
7.10 Properties,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,encouraged
7.10 Properties,Formal registration is optional.,optional
7.10 Properties,Each item of this array must be a Lightweight name-value pair object.,must
8.1 Component,The type property is Required.,Required
8.1 Component,The mime-type property is Optional.,Optional
8.1 Component,The bom-ref property is Optional.,Optional
8.1 Component,Every bom-ref must be unique within the BOM.,must
8.1 Component,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
8.1 Component,The supplier property is Optional.,Optional
8.1 Component,The manufacturer property is Optional.,Optional
8.1 Component,The authors property is Optional.,Optional
8.1 Component,The author property is Optional and Deprecated.,Optional
8.1 Component,The publisher property is Optional.,Optional
8.1 Component,The group property is Optional.,Optional
8.1 Component,Whitespace and special characters should be avoided in the group property.,should
8.1 Component,The name property is Required.,Required
8.1 Component,The version property is Optional.,Optional
8.1 Component,The version should ideally comply with semantic versioning but is not enforced.,should
8.1 Component,The description property is Optional.,Optional
8.1 Component,The scope property is Optional.,Optional
8.1 Component,"If scope is not specified, 'required' scope SHOULD be assumed by the consumer of the BOM.",SHOULD
8.1.1 Component Type,The type property is Required.,Required
8.1.1 Component Type,"For software components, classify as application if no more specific appropriate classification is available or cannot be determined for the component.",SHOULD
8.1.1 Component Type,"If the library also has key features of a framework, then it should be classified as a framework.",should
8.1.1 Component Type,"If the classification is unknown, then specifying library is recommended.",recommended
8.1.1 Component Type,"A hardware device containing firmware SHOULD include a component for the physical hardware itself and another component of type 'firmware' or 'operating-system' (whichever is relevant), describing information about the software running on the device.",SHOULD
8.1.2 Mime-Type,The mime-type property is Optional.,Optional
8.1.3 BOM Reference,The bom-ref property is Optional.,Optional
8.1.3 BOM Reference,Every bom-ref must be unique within the BOM.,must
8.1.3 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
8.1.4 Component Supplier,The supplier property is Optional.,Optional
8.1.5 Component Manufacturer,The manufacturer property is Optional.,Optional
8.1.6 Component Authors,The authors property is Optional.,Optional
8.1.7 Component Author (legacy),The author property is Optional and Deprecated.,Optional
8.1.8 Component Publisher,The publisher property is Optional.,Optional
8.1.9 Component Group,The group property is Optional.,Optional
8.1.9 Component Group,Whitespace and special characters should be avoided.,should
8.1.10 Component Name,The name property is Required.,Required
8.1.11 Component Version,The version property is Optional.,Optional
8.1.11 Component Version,The version should ideally comply with semantic versioning but is not enforced.,should
8.1.12 Component Description,The description property is Optional.,Optional
8.1.13 Component Scope,The scope property is Optional.,Optional
8.1.13 Component Scope,"If scope is not specified, 'required' scope SHOULD be assumed by the consumer of the BOM.",SHOULD
8.1.14 Component Hashes,The hashes property is Optional.,Optional
8.1.14 Component Hashes,Each item of this array must be a Hash object.,must
8.1.14.1 Hash,The alg property for the hashes object is Required.,Required
8.1.14.1 Hash,The alg property must define the algorithm that generated the hash value.,Required
8.1.14.1 Hash,The content property for the hashes object is Required.,Required
8.1.14.1 Hash,The content property must define the value of the hash.,Required
8.1.14.1.1 Hash Algorithm,The alg property is Required.,Required
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: MD5.,Must
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: SHA-1.,Must
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: SHA-256.,Must
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: SHA-384.,Must
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: SHA-512.,Must
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: SHA3-256.,Must
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: SHA3-384.,Must
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: SHA3-512.,Must
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: BLAKE2b-256.,Must
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: BLAKE2b-384.,Must
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: BLAKE2b-512.,Must
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: BLAKE3.,Must
8.1.14.1.2 Hash Value,The content property is Required.,Required
8.1.15 Component Licence(s),The licenses property is Optional.,Optional
8.1.15 Component Licence(s),The licenses property Must be one of: Multiple licenses.,Must
8.1.15 Component Licence(s),The licenses property Must be one of: SPDX License Expression.,Must
8.1.16 Multiple licences,Multiple licences must be a list of SPDX licences and/or named licences.,must
8.1.17 SPDX Licence Expression,SPDX Licence Expression must be a tuple of exactly one SPDX Licence Expression.,must
8.1.18 Multiple licences,Each item of this array must be a Licence object.,must
8.1.18.1 Licence,The license property is Required.,Required
8.1.18.1 Licence,The license property must specify the details and attributes related to a software license.,Required
8.1.18.1.1 Licence,The license property is Required.,Required
8.1.18.1.1 Licence,The bom-ref property is Optional.,Optional
8.1.18.1.1 Licence,Every bom-ref must be unique within the BOM.,must
8.1.18.1.1 Licence,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
8.1.18.1.1 Licence,The id property is Optional.,Optional
8.1.18.1.1 Licence,"If the id property is specified, its value must be one of the enumeration of valid SPDX license identifiers defined in the spdx.schema.json (or spdx.xml) subschema which is synchronized with the official SPDX license list.",must
8.1.18.1.1 Licence,The name property is Optional.,Optional
8.1.18.1.1 Licence,The acknowledgement property is Optional.,Optional
8.1.18.1.1 Licence,The text property is Optional.,Optional
8.1.18.1.1 Licence,The url property is Optional.,Optional
8.1.18.1.1 Licence,"If url is specified, a 'license' externalReference should also be specified for completeness.",should
8.1.18.1.1 Licence,The licensing property is Optional.,Optional
8.1.18.1.1 Licence,The properties property is Optional.,Optional
8.1.18.1.1 Licence,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,encouraged
8.1.18.1.1 Licence,Formal registration for properties is optional.,optional
8.1.18.1.2 BOM Reference,The bom-ref property is Optional.,Optional
8.1.18.1.2 BOM Reference,Every bom-ref must be unique within the BOM.,must
8.1.18.1.2 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
8.1.18.1.3 Licence ID (SPDX),The id property is Optional.,Optional
8.1.18.1.3 Licence ID (SPDX),"If specified, this value must be one of the enumeration of valid SPDX licence identifiers defined in the spdx.schema.json (or spdx.xml) subschema which is synchronized with the official SPDX licence list.",must
8.1.18.1.4 Licence Name,The name property is Optional.,Optional
8.1.18.1.5 Licence Acknowledgement,The acknowledgement property is Optional.,Optional
8.1.18.1.6 Licence text,The text property is Optional.,Optional
8.1.18.1.6 Licence text,The content property for the text object is Required.,Required
8.1.18.1.6 Licence text,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text for the attachment data.,should
8.1.18.1.7 Content-Type,The contentType property is Optional.,Optional
8.1.18.1.8 Encoding,The encoding property is Optional.,Optional
8.1.18.1.9 Attachment Text,The content property is Required.,Required
8.1.18.1.9 Attachment Text,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,should
8.1.18.1.10 Licence URL,The url property is Optional.,Optional
8.1.18.1.10 Licence URL,"If specified, a 'licence' externalReference should also be specified for completeness.",should
8.1.18.1.11 Licencing information,The licensing property is Optional.,Optional
8.1.18.1.89 Properties,The properties property is Optional.,Optional
8.1.18.1.89 Properties,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,encouraged
8.1.18.1.89 Properties,Formal registration is optional for properties.,optional
8.1.18.1.89 Properties,Each item of this array must be a Lightweight name-value pair object.,must
8.1.19 SPDX Licence Expression,The licenses array must be a tuple of exactly one SPDX Licence Expression.,must
8.1.20 Component Copyright,The copyright property is Optional.,Optional
8.1.21 Common Platform Enumeration (CPE),The cpe property is Optional.,Optional
8.1.21 Common Platform Enumeration (CPE),The CPE must conform to the CPE 2.2 or 2.3 specification.,must
8.1.22 Package URL (purl),The purl property is Optional.,Optional
8.1.22 Package URL (purl),"The purl, if specified, must be valid and conform to the specification defined at: https://github.com/package-url/purl-spec.",must
8.1.23 OmniBOR Artefact Identifier (gitoid),The omniborId property is Optional.,Optional
8.1.23 OmniBOR Artefact Identifier (gitoid),"The OmniBOR, if specified, must be valid and conform to the specification defined at: https://www.iana.org/assignments/uri-schemes/prov/gitoid.",must
8.1.24 Software Heritage Identifier,The swhid property is Optional.,Optional
8.1.24 Software Heritage Identifier,"The SWHID, if specified, must be valid and conform to the specification defined at: https://docs.softwareheritage.org/devel/swh-model/persistent-identifiers.html.",must
8.1.24 Software Heritage Identifier,Each item of the swhid array must be a string.,must
8.1.25 SWID Tag,The swid property is Optional.,Optional
8.1.25 SWID Tag,The tagId property for the swid object is Required.,Required
8.1.25 SWID Tag,The tagId property must map to the tagId of a SoftwareIdentity.,Required
8.1.25 SWID Tag,The name property for the swid object is Required.,Required
8.1.25 SWID Tag,The name property must map to the name of a SoftwareIdentity.,Required
8.1.25 SWID Tag,The version property is Optional.,Optional
8.1.25 SWID Tag,The tagVersion property is Optional.,Optional
8.1.25 SWID Tag,The patch property is Optional.,Optional
8.1.25 SWID Tag,The text property is Optional.,Optional
8.1.25 SWID Tag,The url property is Optional.,Optional
8.1.25.1 Tag ID,The tagId property is Required.,Required
8.1.25.1 Tag ID,The tagId property must map to the tagId of a SoftwareIdentity.,Required
8.1.25.2 Name,The name property is Required.,Required
8.1.25.2 Name,The name property must map to the name of a SoftwareIdentity.,Required
8.1.25.3 Version,The version property is Optional.,Optional
8.1.25.4 Tag Version,The tagVersion property is Optional.,Optional
8.1.25.5 Patch,The patch property is Optional.,Optional
8.1.25.6 Attachment text,The text property is Optional.,Optional
8.1.25.6 Attachment text,The contentType property for the SWID tag text object is Optional.,Optional
8.1.25.6 Attachment text,The encoding property for the SWID tag text object is Optional.,Optional
8.1.25.6 Attachment text,The content property for the SWID tag text object is Required.,Required
8.1.25.6 Attachment text,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,should
8.1.25.6.1 Content-Type,The contentType property is Optional.,Optional
8.1.25.6.2 Encoding,The encoding property is Optional.,Optional
8.1.25.6.3 Attachment Text,The content property is Required.,Required
8.1.25.6.3 Attachment Text,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,should
8.1.25.7 URL,The url property is Optional.,Optional
8.1.26 Component Modified From Original,The modified property is Optional and Deprecated.,Optional
8.1.27 Component Pedigree,The pedigree property is Optional.,Optional
8.1.27 Component Pedigree,The ancestors property is Optional.,Optional
8.1.27 Component Pedigree,The descendants property is Optional.,Optional
8.1.27 Component Pedigree,The variants property is Optional.,Optional
8.1.27 Component Pedigree,The commits property is Optional.,Optional
8.1.27 Component Pedigree,The patches property is Optional.,Optional
8.1.27 Component Pedigree,The notes property is Optional.,Optional
8.1.27.1 Ancestors,Each item of the ancestors array must be a Component object.,must
8.1.27.2 Descendants,Each item of the descendants array must be a Component object.,must
8.1.27.3 Variants,The variants property is Optional.,Optional
8.1.27.3 Variants,Each item of the variants array must be a Component object.,must
8.1.27.4 Commits,Each item of the commits array must be a Commit object.,must
8.1.27.4 Commits,The uid property is Optional.,Optional
8.1.27.4 Commits,The url property is Optional.,Optional
8.1.27.4 Commits,The author property is Optional.,Optional
8.1.27.4 Commits,The committer property is Optional.,Optional
