class_name,ancestor_count,ancestors
declarationsEvidence,1,declarations
evidenceData,2,"declarations, declarationsEvidence"
signatory,2,"affirmation, declarations"
standard,1,definitions
requirement,2,"definitions, standard"
level,2,"definitions, standard"
refType,41,"affirmation, annotation, assessor, claim, component, componentData, componentEvidence, composition, considerations, credits, dataGovernance, declarations, declarationsEvidence, definitions, dependency, energyConsumption, energyProvider, environmentalConsiderations, evidenceData, evidenceOccurrence, formula, governanceParty, inlineDataInformation, level, metadata, modelCard, modelParameters, organizationAddress, organizationalContact, organizationalEntity, requirement, service, signatory, standard, targets, task, tools, trigger, vulnerability, workflow, workspace"
version,15,"affect, annotation, component, declarations, definitions, formula, metadata, service, standard, swid, targets, tool, tools, toolsLegacy, vulnerability"
hash-alg,24,"affirmation, annotation, claim, component, considerations, declarations, definitions, energyConsumption, energyProvider, environmentalConsiderations, externalReference, formula, hash, metadata, modelCard, requirement, service, signatory, standard, targets, tool, tools, toolsLegacy, vulnerability"
hash-content,24,"affirmation, annotation, claim, component, considerations, declarations, definitions, energyConsumption, energyProvider, environmentalConsiderations, externalReference, formula, hash, metadata, modelCard, requirement, service, signatory, standard, targets, tool, tools, toolsLegacy, vulnerability"
severity,2,"rating, vulnerability"
scoreMethod,2,"rating, vulnerability"
affectedStatus,2,"affect, vulnerability"
tags,8,"annotation, component, declarations, formula, metadata, targets, tools, vulnerability"
